codes,https://huggingface.co/datasets/cis-lmu/GlotCC-V1,comment (https://iso639-3.sil.org/code/prs)
mlh-Latn,0/7,"wrong label: mhl, but there are also sources mentione mhl for the same verses"
mlt-Latn,,
mmo-Latn,10/10,
mmx-Latn,20/20,
mna-Latn,20/20,
mnb-Latn,1/2,List case 
mni-Beng,,
mni-Latn,,
mni-Mtei,19/19,
mnk-Latn,9/9,
mns-Cyrl,20/20,
mnw-Mymr,20/20,
moa-Latn,0/10,out of model cousin: mxx
moc-Latn,2/2,interesting website: https://cartografiachaco.wikimedia.org.ar/
mog-Latn,,
moh-Latn,,
mos-Latn,20/20,
mph-Latn,3/3,
mpm-Latn,2/2,
mpp-Latn,,
mps-Latn,20/20,
mpx-Latn,10/10,
mqj-Latn,1/1,
mqy-Latn,2/2,
mri-Latn,,
mrj-Cyrl,,
mrw-Latn,,
msb-Latn,7/7,
msc-Latn,4/4,
msk-Latn,4/4,
msm-Latn,0/4,All Noise
msy-Latn,20/20,
mtg-Latn,2/2,
mti-Latn,,
muh-Latn,1/1,
mui-Latn,,
mup-Deva,0/6,"out of model cusin dhd,mtr"
mur-Latn,20/20,
mux-Latn,17/17,
mva-Latn,3/3,
mvn-Latn,9/9,
mvp-Latn,13/13,
mwc-Latn,2/2,
mwf-Latn,1/1,
mwl-Latn,,
mwm-Latn,1/1,
mwn-Latn,1/1,
mwp-Latn,2/2,
mwq-Latn,0/35,out of model cusin dao
mwv-Latn,7/7,
mww-Latn,,
mxb-Latn,1/1,
mxt-Latn,3/3,
mxv-Latn,6/6,
mya-Mymr,,
myb-Latn,2/2,
myk-Latn,20/20,
myu-Latn,1/1,
myv-Cyrl,,
myw-Latn,3/3,
myx-Latn,0/4,"List case, repeated words"
myy-Latn,15/15,
mza-Latn,5/5,
mzh-Latn,1/1,
mzn-Arab,,
naf-Latn,3/3,
nah-Latn,,
nak-Latn,6/6,
nan-Hani,0/15,"noise, the training data for nan_Hani is not very strong."
nan-Latn,12/20,nan_Latn + cdo_Latn (out of model cousin)
nap-Latn,,
naq-Latn,16/16,
nas-Latn,18/18,
nav-Latn,,
nbc-Latn,3/3,
nbe-Latn,2/2,
nbl-Latn,,
nbu-Latn,,
nca-Latn,6/6,
nch-Latn,,
ncj-Latn,,
ncl-Latn,0/1,
ncx-Latn,1/1,
ndc-Latn,7/7,
nde-Latn,,
ndh-Latn,0/1,misclassification : SUK
ndo-Latn,,
nds-Latn,,
new-Deva,,
nfa-Latn,2/2,
ngl-Latn,12/12,
ngu-Latn,5/5,
nhe-Latn,,
nhg-Latn,,
nhi-Latn,16/16,
nho-Latn,,
nhr-Latn,3/3,
nhw-Latn,,
nhx-Latn,2/2,
nia-Latn,,
nif-Latn,3/3,
nii-Latn,3/3,
nij-Latn,1/1,
nin-Latn,16/17,https://www.tokei.cn/zx/xzdj/7291.html. it seems Noise
niu-Latn,20/20,
njm-Latn,2/2,
njn-Latn,,
njz-Latn,2/2,
nld-Latn,,
nlg-Latn,,
nmf-Latn,,
nmz-Latn,4/4,
nnb-Latn,,
nnh-Latn,1/1,
nno-Latn,,
nnp-Latn,1/1,
nnw-Latn,2/2,
nob-Latn,,
nog-Cyrl,,
non-Latn,26/68,Remove https://edl.ecml.at
nop-Latn,20/20,
not-Latn,1/1,
nov-Latn,11/20,keep http://interlanguages.net wikipedia and https://ia801707.us.archive.org http://novial.nyelv.info
nph-Latn,1/1,
npi-Deva,,
npi-Latn,,
npy-Latn,7/7,
nqo-Nkoo,,
nrm-Latn,,
nsa-Latn,1/1,
nsn-Latn,,
nso-Latn,,
nss-Latn,11/11,
nst-Latn,1/1,
nsu-Latn,4/4,
ntp-Latn,,
ntu-Latn,1/2,remove https://loderi.com/kci
nuj-Latn,8/8,
nus-Latn,5/5,
nuy-Latn,1/1,
nvm-Latn,20/20,
nwi-Latn,,
nya-Latn,,
nyk-Latn,,
nyn-Latn,,
nyu-Latn,,
nyy-Latn,15/15,
nzi-Latn,2/2,
nzm-Latn,3/3,
obo-Latn,3/3,
oci-Latn,,
ojb-Cans,1/1,
ojb-Latn,,
okv-Latn,17/17,
olo-Latn,,
omb-Latn,,
omw-Latn,7/7,
ong-Latn,,
opm-Latn,,
orv-Cyrl,,
ory-Latn,,
ory-Orya,,
oss-Cyrl,,
ota-Arab,,
otd-Latn,1/1,
ote-Latn,6/6,
ots-Latn,4/4,
otw-Latn,,
pad-Latn,5/5,
pag-Latn,11/14,out-of model cousin: ibl from bible
pam-Latn,,
pan-Guru,,
pan-Latn,,
pao-Latn,20/20,
pap-Latn,,
pau-Latn,,
pbb-Latn,1/1,
pbt-Arab,,
pcd-Latn,,
pck-Latn,,
pcm-Latn,,
pdc-Latn,,
pdt-Latn,,
pfl-Latn,,
pib-Latn,6/6,
pis-Latn,,
pjt-Latn,,
plg-Latn,1/1,
pls-Latn,1/1,
plt-Latn,,
plu-Latn,1/1,
plw-Latn,,
pma-Latn,,
pmf-Latn,,
pms-Latn,,
pmx-Latn,5/5,
pnb-Arab,,
pnt-Grek,,
poe-Latn,1/1,
poh-Latn,2/2,
poi-Latn,20/20,
pol-Latn,,
pon-Latn,,
por-Latn,,
pot-Latn,1/1,
ppk-Latn,17/17,
ppo-Latn,7/7,
pps-Latn,1/1,
prg-Latn,,
ptp-Latn,1/1,
ptu-Latn,3/3,
pui-Latn,,
pwg-Latn,5/5,
pwn-Latn,,
qub-Latn,,
quc-Latn,,
quf-Latn,1/1,
qug-Latn,,
quh-Latn,,
qul-Latn,3/3,
qup-Latn,,
quw-Latn,,
quy-Latn,,
quz-Latn,,
qvc-Latn,,
qvh-Latn,,
qvi-Latn,,
qvn-Latn,3/3,
qvs-Latn,1/1,
qvw-Latn,4/4,
qxl-Latn,18/18,
qxn-Latn,3/5,"Remove https://ja.wiktionary.org/wiki/proteger,  http://wordsendingin.com/ag.html"
qxo-Latn,,
qxr-Latn,0/1,All Noise 
rad-Latn,,
rap-Latn,,
rar-Latn,,
raw-Latn,,
rcf-Latn,,
rej-Latn,,
rgu-Latn,1/1,
rhg-Latn,,
ria-Latn,2/2,
rjs-Deva,,
rkb-Latn,,
rmc-Latn,,
rml-Latn,,
rmn-Cyrl,10/10,
rmn-Latn,,
rmo-Latn,1/1,
rmq-Latn,7/7,all rows have same value
rmy-Cyrl,,
rmy-Latn,,
rnl-Latn,1/1,
roh-Latn,,
ron-Cyrl,,
ron-Latn,,
roo-Latn,,
rop-Latn,,
row-Latn,,
rro-Latn,,
rtm-Latn,4/4,
rue-Cyrl,,
ruf-Latn,1/1,
rug-Latn,,
run-Latn,,
rup-Latn,,
rus-Cyrl,20/20,
rwo-Latn,20/20,
sab-Latn,3/3,
sag-Latn,20/20,
sah-Cyrl,,
san-Deva,,
san-Latn,,
sas-Latn,2/2,
sat-Latn,4/4,
sat-Olck,,
sbd-Latn,,
sbe-Latn,20/20,
scn-Latn,20/20,
sco-Latn,20/20,
sda-Latn,9/9,
sdc-Latn,4/4,nice website: http://sardegnachiamasardegna.eu
sdh-Arab,,
seh-Latn,25/25,
ses-Latn,1/1,
sgb-Latn,0/1,out of model cousin: abp
sgc-Latn,3/3,
sgh-Cyrl,3/3,
sgs-Latn,20/20,
sgw-Ethi,,
shi-Latn,,
shk-Latn,,
shn-Mymr,20/20,
shp-Latn,7/7,
shu-Arab,2/2,
sid-Latn,,
sil-Latn,10/10,
sim-Latn,2/2,
sin-Sinh,,
sju-Latn,0/1,noise yji...
skg-Latn,,
skr-Arab,16/16,
slk-Latn,,
sll-Latn,1/1,
slv-Latn,,
sma-Latn,,
sme-Latn,,
smj-Latn,20/20,
smk-Latn,19/19,
sml-Latn,11/11,
smn-Latn,,
smo-Latn,,
sms-Latn,,
sna-Latn,,
snc-Latn,17/17,
snd-Arab,,
snd-Deva,,
snd-Latn,,
snf-Latn,4/4,
snn-Latn,30/30,
snp-Latn,20/20,
snw-Latn,3/3,
sny-Latn,20/20,
som-Latn,,
sop-Latn,2/2,
soq-Latn,20/20,
sot-Latn,,
spa-Latn,,
spl-Latn,,
spm-Latn,12/12,
spp-Latn,4/4,
sps-Latn,2/2,
srd-Latn,,
srm-Latn,2/2,
srn-Latn,20/20,
srp-Cyrl,,
srp-Latn,,
srr-Latn,1/1,
ssd-Latn,20/20,
ssg-Latn,1/1,
ssw-Latn,,
ssx-Latn,2/2,
stq-Latn,20/20,
suc-Latn,10/10,
sue-Latn,18/18,
suk-Latn,20/20,
sun-Latn,20/20,
sus-Arab,,
sus-Latn,20/20,
suz-Deva,3/3,
swb-Latn,17/18,remove https://www.eol.org/search?q=Hallodapus
swc-Latn,3/3,
swe-Latn,20/20,
swg-Latn,,
swh-Latn,,
swp-Latn,3/3,
sxb-Latn,4/4,
sxn-Latn,4/4,
syb-Latn,13/13,
syc-Syrc,,
syl-Beng,6/6,
syl-Latn,1/5,just keep https://ebible.org/study/content/texts/syll/J31.html
szl-Latn,,
szy-Latn,,
tab-Cyrl,,
tah-Latn,,
taj-Deva,3/3,
tam-Latn,,
tam-Taml,,
